Info    : Reading '../results/t50/domain.msh'...
Info    : 13 entities
Info    : 10675 nodes
Info    : 21020 elements
Info    : Done reading '../results/t50/domain.msh'

	Symmetric Cantilever 2D with several Ersatz material

> Path = ../results/t50
> Nbr of triangles = 20946
> Ersatz material = 1e-06
> Iterations:
i =   0 | cost = 2.7146 | cstr = 1.5925 | nder = 5.3775 | steps =  0 | lagr = 2.7146 | lm = 0.0000 | mu = 0.0000 | 
i =  16 | cost = 2.1687 | cstr = 1.1612 | nder = 1.5342 | steps = 15 | lagr = 2.7615 | lm = 3.8391 | mu = 3.5171 | 
i =  17 | cost = 2.2297 | cstr = 1.1126 | nder = 1.4925 | steps = 16 | lagr = 2.6546 | lm = 3.8857 | mu = 3.6606 | 
i =  18 | cost = 2.2936 | cstr = 1.0662 | nder = 1.4284 | steps = 16 | lagr = 2.5474 | lm = 3.8983 | mu = 3.7659 | 
i =  19 | cost = 2.3571 | cstr = 1.0229 | nder = 1.3494 | steps = 15 | lagr = 2.4454 | lm = 3.8756 | mu = 3.8298 | 
i =  20 | cost = 2.4193 | cstr = 0.9821 | nder = 1.2473 | steps = 15 | lagr = 2.3507 | lm = 3.8165 | mu = 3.8522 | 
i =  21 | cost = 2.4604 | cstr = 0.9492 | nder = 1.1374 | steps = 16 | lagr = 2.2682 | lm = 3.7332 | mu = 3.8347 | 
i =  22 | cost = 2.5036 | cstr = 0.9184 | nder = 1.0283 | steps = 16 | lagr = 2.2013 | lm = 3.6225 | mu = 3.7855 | 
i =  23 | cost = 2.5401 | cstr = 0.8928 | nder = 0.9334 | steps = 16 | lagr = 2.1542 | lm = 3.4937 | mu = 3.7079 | 
i =  24 | cost = 2.5661 | cstr = 0.8747 | nder = 0.9416 | steps = 16 | lagr = 2.1298 | lm = 3.3575 | mu = 3.6078 | 
i =  25 | cost = 2.5814 | cstr = 0.8654 | nder = 1.1658 | steps = 16 | lagr = 2.1293 | lm = 3.2239 | mu = 3.4929 | 
i =  26 | cost = 2.5938 | cstr = 0.8622 | nder = 1.6666 | steps = 15 | lagr = 2.1482 | lm = 3.0952 | mu = 3.3706 | 
i =  27 | cost = 2.5705 | cstr = 0.8642 | nder = 1.4542 | steps = 15 | lagr = 2.1481 | lm = 2.9745 | mu = 3.2459 | 
i =  28 | cost = 2.5541 | cstr = 0.8663 | nder = 1.3850 | steps = 16 | lagr = 2.1544 | lm = 2.8557 | mu = 3.1229 | 
i =  29 | cost = 2.5275 | cstr = 0.8731 | nder = 1.3223 | steps = 16 | lagr = 2.1627 | lm = 2.7481 | mu = 3.0016 | 
i =  30 | cost = 2.5052 | cstr = 0.8772 | nder = 1.2086 | steps = 15 | lagr = 2.1659 | lm = 2.6406 | mu = 2.8859 | 
i =  31 | cost = 2.4780 | cstr = 0.8864 | nder = 1.2065 | steps = 16 | lagr = 2.1758 | lm = 2.5466 | mu = 2.7736 | 
i =  32 | cost = 2.4472 | cstr = 0.8957 | nder = 0.9819 | steps = 16 | lagr = 2.1796 | lm = 2.4605 | mu = 2.6690 | 
i =  33 | cost = 2.4286 | cstr = 0.9000 | nder = 0.9590 | steps = 15 | lagr = 2.1814 | lm = 2.3725 | mu = 2.5722 | 
i =  34 | cost = 2.4183 | cstr = 0.9026 | nder = 0.9849 | steps = 16 | lagr = 2.1863 | lm = 2.2847 | mu = 2.4793 | 
i =  35 | cost = 2.3920 | cstr = 0.9134 | nder = 0.9852 | steps = 16 | lagr = 2.1927 | lm = 2.2157 | mu = 2.3887 | 
i =  36 | cost = 2.3729 | cstr = 0.9213 | nder = 0.9457 | steps = 16 | lagr = 2.1974 | lm = 2.1503 | mu = 2.3076 | 
i =  37 | cost = 2.3391 | cstr = 0.9322 | nder = 0.8173 | steps = 16 | lagr = 2.1923 | lm = 2.0981 | mu = 2.2336 | 
i =  38 | cost = 2.3195 | cstr = 0.9380 | nder = 0.6965 | steps = 15 | lagr = 2.1889 | lm = 2.0456 | mu = 2.1695 | 
i =  39 | cost = 2.3013 | cstr = 0.9447 | nder = 0.5967 | steps = 16 | lagr = 2.1877 | lm = 2.0003 | mu = 2.1107 | 
i =  40 | cost = 2.2757 | cstr = 0.9557 | nder = 0.5046 | steps = 15 | lagr = 2.1866 | lm = 1.9698 | mu = 2.0583 | 
i =  41 | cost = 2.2649 | cstr = 0.9593 | nder = 0.4261 | steps = 16 | lagr = 2.1844 | lm = 1.9347 | mu = 2.0161 | 
i =  42 | cost = 2.2536 | cstr = 0.9639 | nder = 0.4197 | steps = 15 | lagr = 2.1835 | lm = 1.9052 | mu = 1.9773 | 
i =  43 | cost = 2.2413 | cstr = 0.9699 | nder = 0.3983 | steps = 16 | lagr = 2.1836 | lm = 1.8827 | mu = 1.9429 | 
i =  44 | cost = 2.2241 | cstr = 0.9787 | nder = 0.3958 | steps = 16 | lagr = 2.1838 | lm = 1.8716 | mu = 1.9142 | 
i =  45 | cost = 2.2152 | cstr = 0.9829 | nder = 0.3960 | steps = 16 | lagr = 2.1830 | lm = 1.8596 | mu = 1.8938 | 
i =  46 | cost = 2.2096 | cstr = 0.9849 | nder = 0.3838 | steps = 16 | lagr = 2.1814 | lm = 1.8472 | mu = 1.8775 | 
i =  47 | cost = 2.2011 | cstr = 0.9897 | nder = 0.3725 | steps = 16 | lagr = 2.1820 | lm = 1.8424 | mu = 1.8631 | 
i =  48 | cost = 2.1918 | cstr = 0.9952 | nder = 0.3694 | steps = 16 | lagr = 2.1829 | lm = 1.8435 | mu = 1.8532 | 
i =  49 | cost = 2.1846 | cstr = 0.9983 | nder = 0.3594 | steps = 16 | lagr = 2.1814 | lm = 1.8452 | mu = 1.8486 | 
i =  50 | cost = 2.1852 | cstr = 0.9982 | nder = 0.3634 | steps = 16 | lagr = 2.1818 | lm = 1.8433 | mu = 1.8470 | 
i =  51 | cost = 2.1787 | cstr = 1.0007 | nder = 0.3646 | steps = 16 | lagr = 2.1800 | lm = 1.8467 | mu = 1.8453 | 
> Stopping condition reached!
> Assembly time = 8.409685857999648 s
> Resolution time = 6.265053131000059 s
