Info    : Reading '../results/t14/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t14/domain.msh'
> Iterations:
i =   0 | cost = -0.0204 | cstr = 1.0014 | nder = 0.0200 | steps =  0 | lagr = -0.0204 | lm = 0.0000 | mu = 0.0000 | 
i =  20 | cost = -0.0203 | cstr = 0.9989 | nder = 0.0084 | steps = 15 | lagr = -0.0204 | lm = 0.0294 | mu = 0.0317 | 
i =  21 | cost = -0.0203 | cstr = 1.0002 | nder = 0.0099 | steps = 16 | lagr = -0.0203 | lm = 0.0310 | mu = 0.0306 | 
i =  22 | cost = -0.0203 | cstr = 0.9986 | nder = 0.0072 | steps = 16 | lagr = -0.0204 | lm = 0.0281 | mu = 0.0308 | 
i =  23 | cost = -0.0203 | cstr = 1.0002 | nder = 0.0090 | steps = 16 | lagr = -0.0203 | lm = 0.0299 | mu = 0.0294 | 
i =  24 | cost = -0.0203 | cstr = 0.9983 | nder = 0.0055 | steps = 16 | lagr = -0.0203 | lm = 0.0262 | mu = 0.0297 | 
i =  25 | cost = -0.0203 | cstr = 0.9994 | nder = 0.0060 | steps = 16 | lagr = -0.0203 | lm = 0.0267 | mu = 0.0280 | 
i =  26 | cost = -0.0203 | cstr = 0.9996 | nder = 0.0059 | steps = 16 | lagr = -0.0203 | lm = 0.0267 | mu = 0.0274 | 
i =  27 | cost = -0.0203 | cstr = 0.9998 | nder = 0.0058 | steps = 16 | lagr = -0.0203 | lm = 0.0266 | mu = 0.0270 | 
i =  28 | cost = -0.0203 | cstr = 0.9999 | nder = 0.0058 | steps = 16 | lagr = -0.0203 | lm = 0.0266 | mu = 0.0268 | 
i =  29 | cost = -0.0203 | cstr = 0.9993 | nder = 0.0046 | steps = 16 | lagr = -0.0203 | lm = 0.0253 | mu = 0.0267 | 
i =  30 | cost = -0.0203 | cstr = 1.0000 | nder = 0.0053 | steps = 16 | lagr = -0.0203 | lm = 0.0261 | mu = 0.0260 | 
i =  31 | cost = -0.0203 | cstr = 0.9985 | nder = 0.0025 | steps = 16 | lagr = -0.0203 | lm = 0.0231 | mu = 0.0260 | 
i =  32 | cost = -0.0203 | cstr = 1.0005 | nder = 0.0049 | steps = 16 | lagr = -0.0203 | lm = 0.0256 | mu = 0.0246 | 
i =  33 | cost = -0.0203 | cstr = 0.9991 | nder = 0.0028 | steps = 15 | lagr = -0.0203 | lm = 0.0234 | mu = 0.0251 | 
i =  34 | cost = -0.0203 | cstr = 0.9992 | nder = 0.0021 | steps = 16 | lagr = -0.0203 | lm = 0.0227 | mu = 0.0243 | 
i =  35 | cost = -0.0203 | cstr = 0.9996 | nder = 0.0020 | steps = 16 | lagr = -0.0203 | lm = 0.0227 | mu = 0.0235 | 
i =  36 | cost = -0.0203 | cstr = 1.0009 | nder = 0.0042 | steps = 16 | lagr = -0.0203 | lm = 0.0249 | mu = 0.0231 | 
i =  37 | cost = -0.0203 | cstr = 0.9996 | nder = 0.0025 | steps = 16 | lagr = -0.0203 | lm = 0.0231 | mu = 0.0240 | 
i =  38 | cost = -0.0203 | cstr = 0.9987 | nder = 0.0007 | steps = 15 | lagr = -0.0203 | lm = 0.0209 | mu = 0.0236 | 
i =  39 | cost = -0.0203 | cstr = 0.9999 | nder = 0.0016 | steps = 16 | lagr = -0.0203 | lm = 0.0222 | mu = 0.0223 | 
i =  40 | cost = -0.0204 | cstr = 0.9996 | nder = 0.0011 | steps = 15 | lagr = -0.0204 | lm = 0.0215 | mu = 0.0222 | 
i =  41 | cost = -0.0204 | cstr = 1.0013 | nder = 0.0037 | steps = 16 | lagr = -0.0204 | lm = 0.0246 | mu = 0.0219 | 
i =  42 | cost = -0.0204 | cstr = 0.9997 | nder = 0.0019 | steps = 15 | lagr = -0.0204 | lm = 0.0226 | mu = 0.0232 | 
i =  43 | cost = -0.0204 | cstr = 0.9985 | nder = 0.0013 | steps = 16 | lagr = -0.0204 | lm = 0.0199 | mu = 0.0229 | 
i =  44 | cost = -0.0204 | cstr = 0.9972 | nder = 0.0048 | steps = 16 | lagr = -0.0204 | lm = 0.0159 | mu = 0.0214 | 
i =  45 | cost = -0.0205 | cstr = 1.0033 | nder = 0.0045 | steps = 16 | lagr = -0.0204 | lm = 0.0254 | mu = 0.0188 | 
i =  46 | cost = -0.0204 | cstr = 1.0001 | nder = 0.0018 | steps = 16 | lagr = -0.0204 | lm = 0.0221 | mu = 0.0220 | 
i =  47 | cost = -0.0204 | cstr = 0.9986 | nder = 0.0021 | steps = 16 | lagr = -0.0204 | lm = 0.0193 | mu = 0.0220 | 
i =  48 | cost = -0.0205 | cstr = 0.9994 | nder = 0.0022 | steps = 16 | lagr = -0.0205 | lm = 0.0195 | mu = 0.0207 | 
i =  49 | cost = -0.0205 | cstr = 1.0026 | nder = 0.0044 | steps = 16 | lagr = -0.0205 | lm = 0.0252 | mu = 0.0201 | 
i =  50 | cost = -0.0205 | cstr = 0.9974 | nder = 0.0042 | steps = 16 | lagr = -0.0205 | lm = 0.0174 | mu = 0.0226 | 
i =  51 | cost = -0.0206 | cstr = 0.9991 | nder = 0.0037 | steps = 16 | lagr = -0.0206 | lm = 0.0182 | mu = 0.0201 | 
i =  52 | cost = -0.0206 | cstr = 1.0033 | nder = 0.0048 | steps = 16 | lagr = -0.0206 | lm = 0.0258 | mu = 0.0192 | 
i =  53 | cost = -0.0206 | cstr = 1.0016 | nder = 0.0047 | steps = 16 | lagr = -0.0206 | lm = 0.0254 | mu = 0.0223 | 
i =  54 | cost = -0.0206 | cstr = 0.9980 | nder = 0.0032 | steps = 16 | lagr = -0.0206 | lm = 0.0199 | mu = 0.0238 | 
i =  55 | cost = -0.0207 | cstr = 0.9968 | nder = 0.0068 | steps = 15 | lagr = -0.0207 | lm = 0.0155 | mu = 0.0219 | 
i =  56 | cost = -0.0208 | cstr = 1.0033 | nder = 0.0049 | steps = 16 | lagr = -0.0208 | lm = 0.0255 | mu = 0.0189 | 
i =  57 | cost = -0.0208 | cstr = 1.0028 | nder = 0.0065 | steps = 16 | lagr = -0.0208 | lm = 0.0276 | mu = 0.0220 | 
i =  58 | cost = -0.0208 | cstr = 0.9947 | nder = 0.0088 | steps = 16 | lagr = -0.0209 | lm = 0.0141 | mu = 0.0247 | 
i =  59 | cost = -0.0211 | cstr = 1.0034 | nder = 0.0057 | steps = 16 | lagr = -0.0210 | lm = 0.0266 | mu = 0.0197 | 
i =  60 | cost = -0.0211 | cstr = 1.0000 | nder = 0.0048 | steps = 16 | lagr = -0.0211 | lm = 0.0230 | mu = 0.0229 | 
i =  61 | cost = -0.0212 | cstr = 0.9987 | nder = 0.0060 | steps = 16 | lagr = -0.0212 | lm = 0.0204 | mu = 0.0230 | 
i =  62 | cost = -0.0214 | cstr = 0.9984 | nder = 0.0078 | steps = 16 | lagr = -0.0215 | lm = 0.0186 | mu = 0.0218 | 
i =  63 | cost = -0.0217 | cstr = 1.0032 | nder = 0.0065 | steps = 16 | lagr = -0.0216 | lm = 0.0268 | mu = 0.0203 | 
i =  64 | cost = -0.0219 | cstr = 1.0002 | nder = 0.0069 | steps = 15 | lagr = -0.0219 | lm = 0.0238 | mu = 0.0233 | 
i =  65 | cost = -0.0221 | cstr = 1.0049 | nder = 0.0101 | steps = 16 | lagr = -0.0220 | lm = 0.0334 | mu = 0.0236 | 
i =  66 | cost = -0.0222 | cstr = 0.9985 | nder = 0.0079 | steps = 16 | lagr = -0.0223 | lm = 0.0252 | mu = 0.0282 | 
i =  67 | cost = -0.0225 | cstr = 0.9973 | nder = 0.0104 | steps = 16 | lagr = -0.0226 | lm = 0.0213 | mu = 0.0268 | 
i =  68 | cost = -0.0230 | cstr = 1.0043 | nder = 0.0099 | steps = 16 | lagr = -0.0229 | lm = 0.0329 | mu = 0.0242 | 
i =  69 | cost = -0.0233 | cstr = 1.0011 | nder = 0.0097 | steps = 16 | lagr = -0.0232 | lm = 0.0305 | mu = 0.0283 | 
i =  70 | cost = -0.0238 | cstr = 1.0003 | nder = 0.0107 | steps = 16 | lagr = -0.0238 | lm = 0.0300 | mu = 0.0293 | 
i =  71 | cost = -0.0244 | cstr = 1.0020 | nder = 0.0115 | steps = 16 | lagr = -0.0244 | lm = 0.0337 | mu = 0.0296 | 
i =  72 | cost = -0.0252 | cstr = 1.0033 | nder = 0.0127 | steps = 16 | lagr = -0.0251 | lm = 0.0381 | mu = 0.0315 | 
i =  73 | cost = -0.0257 | cstr = 1.0007 | nder = 0.0136 | steps = 16 | lagr = -0.0257 | lm = 0.0359 | mu = 0.0346 | 
i =  74 | cost = -0.0267 | cstr = 1.0023 | nder = 0.0144 | steps = 16 | lagr = -0.0266 | lm = 0.0399 | mu = 0.0352 | 
i =  75 | cost = -0.0281 | cstr = 1.0103 | nder = 0.0184 | steps = 16 | lagr = -0.0276 | lm = 0.0579 | mu = 0.0374 | 
i =  76 | cost = -0.0291 | cstr = 1.0086 | nder = 0.0193 | steps = 16 | lagr = -0.0287 | lm = 0.0642 | mu = 0.0469 | 
i =  77 | cost = -0.0302 | cstr = 1.0084 | nder = 0.0206 | steps = 15 | lagr = -0.0296 | lm = 0.0716 | mu = 0.0549 | 
i =  78 | cost = -0.0308 | cstr = 1.0024 | nder = 0.0143 | steps = 16 | lagr = -0.0307 | lm = 0.0674 | mu = 0.0626 | 
i =  79 | cost = -0.0312 | cstr = 0.9994 | nder = 0.0112 | steps = 16 | lagr = -0.0313 | lm = 0.0637 | mu = 0.0648 | 
i =  80 | cost = -0.0318 | cstr = 1.0010 | nder = 0.0104 | steps = 16 | lagr = -0.0317 | lm = 0.0663 | mu = 0.0643 | 
i =  81 | cost = -0.0323 | cstr = 1.0016 | nder = 0.0097 | steps = 16 | lagr = -0.0322 | lm = 0.0685 | mu = 0.0652 | 
i =  82 | cost = -0.0326 | cstr = 1.0035 | nder = 0.0104 | steps = 16 | lagr = -0.0323 | lm = 0.0738 | mu = 0.0667 | 
i =  83 | cost = -0.0326 | cstr = 1.0002 | nder = 0.0086 | steps = 16 | lagr = -0.0326 | lm = 0.0704 | mu = 0.0700 | 
i =  84 | cost = -0.0327 | cstr = 0.9990 | nder = 0.0082 | steps = 16 | lagr = -0.0328 | lm = 0.0683 | mu = 0.0702 | 
i =  85 | cost = -0.0329 | cstr = 1.0000 | nder = 0.0082 | steps = 15 | lagr = -0.0329 | lm = 0.0694 | mu = 0.0693 | 
i =  86 | cost = -0.0331 | cstr = 1.0029 | nder = 0.0090 | steps = 16 | lagr = -0.0329 | lm = 0.0751 | mu = 0.0693 | 
i =  87 | cost = -0.0330 | cstr = 1.0002 | nder = 0.0083 | steps = 16 | lagr = -0.0330 | lm = 0.0724 | mu = 0.0720 | 
i =  88 | cost = -0.0330 | cstr = 0.9984 | nder = 0.0086 | steps = 16 | lagr = -0.0331 | lm = 0.0690 | mu = 0.0722 | 
i =  89 | cost = -0.0333 | cstr = 0.9992 | nder = 0.0091 | steps = 16 | lagr = -0.0333 | lm = 0.0691 | mu = 0.0707 | 
i =  90 | cost = -0.0336 | cstr = 1.0023 | nder = 0.0092 | steps = 16 | lagr = -0.0334 | lm = 0.0745 | mu = 0.0700 | 
i =  91 | cost = -0.0336 | cstr = 1.0015 | nder = 0.0096 | steps = 16 | lagr = -0.0335 | lm = 0.0750 | mu = 0.0720 | 
i =  92 | cost = -0.0335 | cstr = 0.9987 | nder = 0.0100 | steps = 16 | lagr = -0.0336 | lm = 0.0708 | mu = 0.0734 | 
i =  93 | cost = -0.0337 | cstr = 1.0005 | nder = 0.0103 | steps = 16 | lagr = -0.0337 | lm = 0.0733 | mu = 0.0722 | 
i =  94 | cost = -0.0338 | cstr = 1.0005 | nder = 0.0109 | steps = 15 | lagr = -0.0338 | lm = 0.0737 | mu = 0.0727 | 
i =  95 | cost = -0.0340 | cstr = 1.0005 | nder = 0.0115 | steps = 16 | lagr = -0.0339 | lm = 0.0741 | mu = 0.0732 | 
i =  96 | cost = -0.0341 | cstr = 1.0012 | nder = 0.0122 | steps = 16 | lagr = -0.0340 | lm = 0.0760 | mu = 0.0736 | 
i =  97 | cost = -0.0341 | cstr = 1.0002 | nder = 0.0129 | steps = 16 | lagr = -0.0341 | lm = 0.0752 | mu = 0.0747 | 
i =  98 | cost = -0.0343 | cstr = 0.9992 | nder = 0.0138 | steps = 16 | lagr = -0.0343 | lm = 0.0732 | mu = 0.0749 | 
i =  99 | cost = -0.0345 | cstr = 1.0014 | nder = 0.0146 | steps = 16 | lagr = -0.0344 | lm = 0.0770 | mu = 0.0741 | 
i = 100 | cost = -0.0347 | cstr = 0.9992 | nder = 0.0157 | steps = 16 | lagr = -0.0347 | lm = 0.0739 | mu = 0.0754 | 
i = 101 | cost = -0.0350 | cstr = 1.0018 | nder = 0.0167 | steps = 15 | lagr = -0.0349 | lm = 0.0784 | mu = 0.0747 | 
i = 102 | cost = -0.0352 | cstr = 1.0013 | nder = 0.0178 | steps = 15 | lagr = -0.0351 | lm = 0.0790 | mu = 0.0764 | 
i = 103 | cost = -0.0355 | cstr = 0.9994 | nder = 0.0193 | steps = 16 | lagr = -0.0355 | lm = 0.0764 | mu = 0.0776 | 
i = 104 | cost = -0.0360 | cstr = 1.0020 | nder = 0.0209 | steps = 16 | lagr = -0.0358 | lm = 0.0809 | mu = 0.0770 | 
i = 105 | cost = -0.0363 | cstr = 1.0014 | nder = 0.0227 | steps = 16 | lagr = -0.0362 | lm = 0.0817 | mu = 0.0788 | 
i = 106 | cost = -0.0367 | cstr = 1.0012 | nder = 0.0248 | steps = 16 | lagr = -0.0366 | lm = 0.0825 | mu = 0.0801 | 
i = 107 | cost = -0.0373 | cstr = 1.0008 | nder = 0.0274 | steps = 16 | lagr = -0.0372 | lm = 0.0828 | mu = 0.0812 | 
i = 108 | cost = -0.0380 | cstr = 1.0013 | nder = 0.0307 | steps = 16 | lagr = -0.0379 | lm = 0.0844 | mu = 0.0819 | 
i = 109 | cost = -0.0392 | cstr = 1.0043 | nder = 0.0354 | steps = 16 | lagr = -0.0388 | lm = 0.0917 | mu = 0.0830 | 
i = 110 | cost = -0.0403 | cstr = 1.0020 | nder = 0.0414 | steps = 16 | lagr = -0.0401 | lm = 0.0908 | mu = 0.0869 | 
i = 111 | cost = -0.0422 | cstr = 1.0057 | nder = 0.0507 | steps = 16 | lagr = -0.0416 | lm = 0.1001 | mu = 0.0887 | 
i = 112 | cost = -0.0446 | cstr = 1.0053 | nder = 0.0660 | steps = 16 | lagr = -0.0441 | lm = 0.1043 | mu = 0.0938 | 
i = 113 | cost = -0.0508 | cstr = 1.0104 | nder = 0.1049 | steps = 16 | lagr = -0.0496 | lm = 0.1194 | mu = 0.0985 | 
i = 114 | cost = -0.0685 | cstr = 1.0190 | nder = 0.1880 | steps = 16 | lagr = -0.0661 | lm = 0.1457 | mu = 0.1078 | 
i = 115 | cost = -0.1072 | cstr = 1.0608 | nder = 0.2190 | steps = 16 | lagr = -0.0959 | lm = 0.2462 | mu = 0.1247 | 
i = 116 | cost = -0.1450 | cstr = 1.0862 | nder = 0.1626 | steps = 14 | lagr = -0.1223 | lm = 0.3504 | mu = 0.1781 | 
i = 117 | cost = -0.1525 | cstr = 1.0581 | nder = 0.1166 | steps = 15 | lagr = -0.1344 | lm = 0.3686 | mu = 0.2526 | 
i = 118 | cost = -0.1466 | cstr = 1.0149 | nder = 0.0785 | steps = 16 | lagr = -0.1419 | lm = 0.3332 | mu = 0.3035 | 
i = 119 | cost = -0.1462 | cstr = 1.0014 | nder = 0.0599 | steps = 15 | lagr = -0.1458 | lm = 0.3194 | mu = 0.3167 | 
i = 120 | cost = -0.1481 | cstr = 0.9946 | nder = 0.0448 | steps = 15 | lagr = -0.1498 | lm = 0.3071 | mu = 0.3179 | 
i = 121 | cost = -0.1525 | cstr = 1.0009 | nder = 0.0325 | steps = 16 | lagr = -0.1522 | lm = 0.3149 | mu = 0.3131 | 
i = 122 | cost = -0.1541 | cstr = 1.0050 | nder = 0.0259 | steps = 16 | lagr = -0.1525 | lm = 0.3239 | mu = 0.3139 | 
i = 123 | cost = -0.1527 | cstr = 0.9989 | nder = 0.0203 | steps = 16 | lagr = -0.1531 | lm = 0.3161 | mu = 0.3183 | 
i = 124 | cost = -0.1536 | cstr = 0.9992 | nder = 0.0168 | steps = 15 | lagr = -0.1538 | lm = 0.3158 | mu = 0.3173 | 
i = 125 | cost = -0.1542 | cstr = 1.0018 | nder = 0.0142 | steps = 15 | lagr = -0.1537 | lm = 0.3202 | mu = 0.3166 | 
i = 126 | cost = -0.1537 | cstr = 0.9990 | nder = 0.0123 | steps = 16 | lagr = -0.1540 | lm = 0.3162 | mu = 0.3182 | 
i = 127 | cost = -0.1542 | cstr = 1.0006 | nder = 0.0103 | steps = 16 | lagr = -0.1540 | lm = 0.3184 | mu = 0.3173 | 
i = 128 | cost = -0.1541 | cstr = 1.0000 | nder = 0.0091 | steps = 16 | lagr = -0.1541 | lm = 0.3177 | mu = 0.3178 | 
i = 129 | cost = -0.1540 | cstr = 0.9996 | nder = 0.0084 | steps = 16 | lagr = -0.1542 | lm = 0.3170 | mu = 0.3178 | 
i = 130 | cost = -0.1543 | cstr = 1.0005 | nder = 0.0079 | steps = 16 | lagr = -0.1542 | lm = 0.3184 | mu = 0.3174 | 
i = 131 | cost = -0.1541 | cstr = 1.0005 | nder = 0.0077 | steps = 15 | lagr = -0.1540 | lm = 0.3188 | mu = 0.3178 | 
i = 132 | cost = -0.1538 | cstr = 0.9996 | nder = 0.0075 | steps = 16 | lagr = -0.1539 | lm = 0.3175 | mu = 0.3182 | 
i = 133 | cost = -0.1538 | cstr = 0.9995 | nder = 0.0074 | steps = 16 | lagr = -0.1539 | lm = 0.3169 | mu = 0.3179 | 
i = 134 | cost = -0.1539 | cstr = 1.0006 | nder = 0.0072 | steps = 15 | lagr = -0.1538 | lm = 0.3186 | mu = 0.3174 | 
i = 135 | cost = -0.1537 | cstr = 0.9994 | nder = 0.0073 | steps = 16 | lagr = -0.1539 | lm = 0.3167 | mu = 0.3180 | 
i = 136 | cost = -0.1539 | cstr = 1.0000 | nder = 0.0072 | steps = 16 | lagr = -0.1539 | lm = 0.3174 | mu = 0.3174 | 
i = 137 | cost = -0.1540 | cstr = 1.0002 | nder = 0.0072 | steps = 15 | lagr = -0.1539 | lm = 0.3179 | mu = 0.3174 | 
i = 138 | cost = -0.1539 | cstr = 0.9998 | nder = 0.0072 | steps = 16 | lagr = -0.1539 | lm = 0.3171 | mu = 0.3176 | 
i = 139 | cost = -0.1540 | cstr = 1.0001 | nder = 0.0072 | steps = 16 | lagr = -0.1540 | lm = 0.3177 | mu = 0.3174 | 
i = 140 | cost = -0.1540 | cstr = 1.0005 | nder = 0.0071 | steps = 16 | lagr = -0.1538 | lm = 0.3185 | mu = 0.3175 | 
i = 141 | cost = -0.1537 | cstr = 0.9990 | nder = 0.0074 | steps = 16 | lagr = -0.1540 | lm = 0.3160 | mu = 0.3179 | 
i = 142 | cost = -0.1542 | cstr = 1.0010 | nder = 0.0072 | steps = 16 | lagr = -0.1539 | lm = 0.3190 | mu = 0.3171 | 
> Stopping condition reached!
> Assembly time = 6.234522620000007 s
> Resolution time = 59.86027304000004 s
